hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
15/5/2025-12:21:21::8::84::848,0.038197707,0.006039451,0.60838854,0.001553075,343.77936,54.355057,5475.497,13.977675,,
15/5/2025-12:21:21::9::91::915,0.03555923,0.0038434267,0.7008152,0.0013166303,320.03305,34.59084,6307.337,11.849672,,
15/5/2025-12:21:21::9::91::915,0.03555923,0.0038434267,0.7008152,0.0013166303,320.03305,34.59084,6307.337,11.849672,,
15/5/2025-12:21:21::9::98::986,0.036678366,0.0049126716,0.84902024,0.001340226,330.1053,44.214043,7641.182,12.062035,,
15/5/2025-12:21:21::0::1::19,0.035364404,0.0057397373,0.79782647,0.0013966296,318.27963,51.657635,7180.438,12.569667,,
15/5/2025-12:21:21::0::5::53,0.035048466,0.0036708103,0.7443303,0.0013143788,315.4362,33.037292,6698.9727,11.82941,,
15/5/2025-12:21:21::0::8::87,0.034163475,0.0046677003,0.57771665,0.0015919281,307.47128,42.009304,5199.4497,14.327353,,
15/5/2025-12:21:21::1::15::153,0.026399735,0.006024309,0.540357,0.0013684883,237.59763,54.21878,4863.213,12.316395,,
15/5/2025-12:21:21::1::15::153,0.03810465,0.0053328793,0.67984325,0.001463226,342.94183,47.995914,6118.5894,13.169034,,
15/5/2025-12:21:21::1::15::153,0.03810465,0.0053328793,0.67984325,0.001463226,342.94183,47.995914,6118.5894,13.169034,,
15/5/2025-12:21:21::2::21::219,0.035568032,0.0052120234,0.7471639,0.001176912,320.1123,46.90821,6724.475,10.592208,,
15/5/2025-12:21:21::2::25::253,0.03640647,0.006302575,0.7552904,0.0015654623,327.6582,56.723175,6797.614,14.089161,,
15/5/2025-12:21:21::2::28::288,0.037621487,0.0061946404,0.6855046,0.0013244612,338.59338,55.751762,6169.5415,11.920151,,
15/5/2025-12:21:21::3::32::324,0.034485083,0.005587537,0.58471453,0.0017286945,310.36575,50.28783,5262.4307,15.55825,,
15/5/2025-12:21:21::3::36::361,0.03444649,0.0050512655,0.6870659,0.0018582507,310.0184,45.461388,6183.5933,16.724257,,
15/5/2025-12:21:21::3::39::395,0.035128377,0.0046043033,0.59911776,0.0015473161,316.1554,41.43873,5392.0596,13.925845,,
15/5/2025-12:21:21::4::46::462,0.03675468,0.0046043033,0.59911776,0.0015473161,330.7921,41.43873,5392.0596,13.925845,,
15/5/2025-12:21:21::4::46::462,0.03675468,0.005025442,0.72425157,0.0017002975,330.7921,45.22898,6518.264,15.302677,,
15/5/2025-12:21:22::4::49::495,0.037738264,0.0053737825,0.95870227,0.001563767,339.64438,48.364044,8628.32,14.073903,,
15/5/2025-12:21:22::5::52::528,0.037395023,0.004109624,0.6910304,0.0016967371,336.5552,36.986614,6219.2734,15.270634,,
15/5/2025-12:21:22::5::56::567,0.037750542,0.005685364,0.7114634,0.0015225487,339.75488,51.168274,6403.1704,13.702939,,
15/5/2025-12:21:22::6::60::601,0.038070552,0.004982296,0.75787127,0.0014083143,342.63498,44.840664,6820.8413,12.6748295,,
15/5/2025-12:21:22::6::66::669,0.036403697,0.004512379,0.73071975,0.001560023,327.63327,40.611412,6576.4775,14.040208,,
15/5/2025-12:21:22::7::70::705,0.03718512,0.0043463875,0.6143982,0.001438572,334.6661,39.11749,5529.5835,12.947147,,
15/5/2025-12:21:22::7::70::705,0.03718512,0.0043463875,0.6143982,0.001438572,334.6661,39.11749,5529.5835,12.947147,,
15/5/2025-12:21:22::7::73::737,0.038135737,0.0048643057,0.591277,0.0011028498,343.22165,43.77875,5321.493,9.925649,,
15/5/2025-12:21:22::7::77::773,0.039321057,0.006515011,0.6063578,0.0015473971,353.88953,58.6351,5457.22,13.926574,,
15/5/2025-12:21:22::8::80::805,0.03687138,0.0072292504,0.69011104,0.0017497258,331.84244,65.063255,6210.9995,15.747532,,
15/5/2025-12:21:22::8::84::849,0.037817474,0.008314323,0.57655716,0.0015566482,340.35727,74.8289,5189.0146,14.009833,,
15/5/2025-12:21:22::8::84::849,0.037817474,0.008314323,0.57655716,0.0015566482,340.35727,74.8289,5189.0146,14.009833,,
15/5/2025-12:21:22::9::95::951,0.026136193,0.0065777027,0.66484576,0.0012521605,235.22574,59.199326,5983.612,11.269444,,
15/5/2025-12:21:22::9::95::951,0.02700558,0.006641092,0.7134853,0.0012521605,243.05022,59.769825,6421.3677,11.269444,,
15/5/2025-12:21:22::9::98::985,0.02700558,0.006641092,0.7134853,0.0015748704,243.05022,59.769825,6421.3677,14.173834,,
15/5/2025-12:21:22::0::1::17,0.035172403,0.0048146513,0.6475786,0.0016724026,316.55164,43.331863,5828.2075,15.051623,,
15/5/2025-12:21:22::0::5::50,0.034735825,0.005320884,0.71280485,0.0014704177,312.62244,47.887955,6415.2437,13.233759,,
15/5/2025-12:21:22::0::8::84,0.037253436,0.0043851025,0.8771376,0.0015373526,335.2809,39.465923,7894.2383,13.836173,,
15/5/2025-12:21:22::1::12::122,0.037804917,0.0052134045,0.88094085,0.0014302431,340.24423,46.92064,7928.468,12.872189,,
15/5/2025-12:21:22::1::15::155,0.03835283,0.0050318283,0.75754684,0.0013834387,345.17545,45.286453,6817.9214,12.450949,,
15/5/2025-12:21:22::2::22::222,0.03789677,0.0041965563,0.5686413,0.0013693873,341.07095,37.76901,5117.772,12.324485,,
15/5/2025-12:21:22::2::22::222,0.03789677,0.0041965563,0.5686413,0.0013693873,341.07095,37.76901,5117.772,12.324485,,
15/5/2025-12:21:22::2::25::255,0.037945755,0.0059765927,0.54264545,0.0017853302,341.51178,53.789333,4883.809,16.067972,,
15/5/2025-12:21:22::2::28::288,0.03609782,0.0049394346,0.6387187,0.001686978,324.88037,44.45491,5748.4688,15.182802,,
15/5/2025-12:21:22::2::28::288,0.03609782,0.0049394346,0.6387187,0.001686978,324.88037,44.45491,5748.4688,15.182802,,
15/5/2025-12:21:22::3::35::355,0.036348306,0.006354279,0.74814445,0.0016873258,327.13477,57.18851,6733.3,15.185932,,
15/5/2025-12:21:22::3::39::397,0.037042525,0.004920497,0.86717486,0.0015997342,333.38272,44.284473,7804.5737,14.397608,,
15/5/2025-12:21:22::4::46::464,0.03812891,0.009070175,0.7839959,0.0016265087,343.1602,81.63158,7055.9634,14.638577,,
15/5/2025-12:21:22::4::46::464,0.03812891,0.009070175,0.7839959,0.0016265087,343.1602,81.63158,7055.9634,14.638577,,
15/5/2025-12:21:23::4::49::498,0.0373515,0.006855517,0.75156856,0.0015705429,336.1635,61.699654,6764.117,14.134887,,
15/5/2025-12:21:23::5::53::531,0.037774637,0.005673575,0.73284096,0.0015208789,339.97174,51.062176,6595.569,13.68791,,
15/5/2025-12:21:23::5::57::576,0.03805994,0.00703369,0.8401299,0.0016417875,342.53946,63.303207,7561.169,14.776088,,
15/5/2025-12:21:23::6::60::609,0.037589744,0.008117382,0.82170564,0.0014719813,338.30768,73.05644,7395.3506,13.247831,,
15/5/2025-12:21:23::6::64::642,0.03692653,0.0070586954,0.6189112,0.0015703491,332.33878,63.52826,5570.2007,14.1331415,,
15/5/2025-12:21:23::7::71::711,0.03513319,0.007382821,0.74263704,0.0017580788,316.19873,66.44539,6683.7334,15.822709,,
15/5/2025-12:21:23::7::71::711,0.03513319,0.007382821,0.74263704,0.0017580788,316.19873,66.44539,6683.7334,15.822709,,
15/5/2025-12:21:23::7::78::781,0.025352841,0.008262375,0.99408096,0.0028517554,228.17557,74.36138,8946.729,25.665798,,
15/5/2025-12:21:23::7::78::781,0.025352841,0.008262375,0.99408096,0.0028517554,228.17557,74.36138,8946.729,25.665798,,
15/5/2025-12:21:23::8::81::813,0.03267798,0.008775911,1.0,0.0026181971,294.1018,78.9832,10315.922,23.563774,,
15/5/2025-12:21:23::8::84::846,0.034553044,0.011952917,0.9472043,0.0023358455,310.9774,107.576256,8524.839,21.02261,,
15/5/2025-12:21:23::9::91::919,0.04061642,0.010193293,1.0,0.0019154623,365.54776,91.73964,9246.844,17.23916,,
15/5/2025-12:21:23::9::95::955,0.04192468,0.008135934,0.8521562,0.0014417614,377.32214,73.22341,7669.4062,12.975853,,
15/5/2025-12:21:23::9::95::955,0.037904058,0.008764732,0.72782665,0.0017101085,341.1365,78.88258,6550.44,15.390976,,
15/5/2025-12:21:23::0::2::22,0.037661444,0.008764732,0.72782665,0.0017101085,338.953,78.88258,6550.44,15.390976,,
15/5/2025-12:21:23::0::2::22,0.037661444,0.009071432,0.62245375,0.0017523536,338.953,81.64289,5602.084,15.771183,,
15/5/2025-12:21:23::0::5::58,0.03875963,0.010618365,0.9773506,0.0015969947,348.83667,95.56529,8796.155,14.372952,,
15/5/2025-12:21:23::0::9::92,0.036529012,0.008858712,0.8176948,0.0015456175,328.7611,79.72841,7359.253,13.910557,,
15/5/2025-12:21:23::1::12::124,0.036738843,0.0067034867,0.62033683,0.0015879957,330.6496,60.33138,5583.0317,14.291961,,
15/5/2025-12:21:23::1::12::124,0.036738843,0.0067034867,0.62033683,0.0015879957,330.6496,60.33138,5583.0317,14.291961,,
15/5/2025-12:21:23::2::20::201,0.03636412,0.010827716,0.93301487,0.0012677026,327.27707,97.44945,8397.134,11.409323,,
15/5/2025-12:21:23::2::23::234,0.036073074,0.012474974,0.8605025,0.0014276239,324.65765,112.274765,7744.5225,12.848615,,
15/5/2025-12:21:23::3::30::303,0.03711204,0.009484127,0.68569005,0.0013824333,334.00836,85.35715,6171.2104,12.4419,,
15/5/2025-12:21:23::3::30::303,0.03711204,0.009484127,0.68569005,0.0013824333,334.00836,85.35715,6171.2104,12.4419,,
15/5/2025-12:21:23::3::33::335,0.038638383,0.014888716,0.63610905,0.0013503843,347.74545,133.99844,5724.9814,12.153459,,
15/5/2025-12:21:23::3::37::370,0.037816532,0.0143496385,0.5549691,0.0016193653,340.3488,129.14674,4994.7217,14.574287,,
15/5/2025-12:21:23::4::40::408,0.038049944,0.008639562,0.667684,0.0012225576,342.4495,77.75606,6009.1562,11.003018,,
